Size,Speed,Thickness,10% Strain,20% Strain,30% Strain,40% Strain,50% Strain,Peak Stress,Relaxed Stress
20,1,1,51.043,75.679,77.131,81.889,91.352,108.6,13.2
20,1,1,56.923,76.217,77.94,81.292,91.555,108.8,11.6
20,1,1,65.629,77.433,78.191,83.765,94.623,115.1,15.1
20,1,1.5,15.104,21.829,24.436,26.792,31.565,39.8,0.9
20,1,1.5,25.023,33.553,35.601,38.897,43.372,50.9,1.1
20,1,1.5,22.074,28.908,31.01,33.929,38.947,47.4,0.9
20,1,2,29.262,36.114,35.637,37.453,40.486,47,1.7
20,1,2,30.539,38.201,38.422,40.469,43.625,51.4,4.5
20,1,2,38.805,40.359,39.507,40.249,43.766,49.8,3.3
20,2.54,1,61.533,96.414,104.519,113.146,129.988,166.4,7.7
20,2.54,1,51.689,81.834,90.684,98.511,116.397,146.8,5.1
20,2.54,1,88.812,110.886,119.02,131.583,154.722,204.9,19.7
20,2.54,1.5,25.273,30.458,31.737,35.248,40.858,55.7,0.8
20,2.54,1.5,27.943,33.622,34.868,39.927,44.453,57.4,0.7
20,2.54,1.5,22.441,29.193,31.774,34.663,42.561,53.8,-0.1
20,2.54,2,43.437,47.899,50.716,52.032,57.805,71.9,3.8
20,2.54,2,39.751,44.64,47.254,47.824,52.405,65.9,2.6
20,2.54,2,45.198,48.655,48.71,50.653,55.294,66.6,-0.3
35,1,1,32.955,88.093,104.56,109.321,116.309,127.5,26.3
35,1,1,14.015,78.406,114.573,133.402,142.281,153,38.6
35,1,1,21.719,92.173,117.643,119.489,124.447,134.1,29.4
35,1,1.5,22.792,37.908,40.557,43.675,47.417,55.3,6.7
35,1,1.5,22.963,33.956,36.31,39.247,44.131,52.1,5
35,1,1.5,20.164,36.666,38.529,41.777,47.876,57.2,7.3
35,1,2,42.158,57.288,55.043,55.65,59.148,66.6,12.1
35,1,2,42.305,60.278,59.805,60.496,64.755,72.5,13.5
35,1,2,42.296,56.113,56.825,58.12,63.484,72.3,13.7
35,2.54,1,44.23,116.528,155.7,172.657,185.416,206.9,29.2
35,2.54,1,31.213,121.157,156.796,173.784,186.315,207.9,29.2
35,2.54,1,45.623,119.384,149.948,165.088,178.015,197.7,26.8
35,2.54,1.5,24.982,41.578,46.247,52.535,63.304,79,4.4
35,2.54,1.5,27.773,47.569,51.704,55.853,65.79,80.2,4.7
35,2.54,1.5,31.114,45.509,49.771,55.299,63.87,79.3,4.8
35,2.54,2,47.894,76.379,75.745,77.08,83.198,95.8,10.6
35,2.54,2,55.671,71.406,70.02,71.835,78.125,91.6,10.4
35,2.54,2,48.171,68.247,67.899,70.276,77.022,89.9,10.1
